iteracion  mejor_solucion       peor_solucion                   promedio                             distancia_euclidiana                         distancia_hamming                             entropia
0               9734                -13572                    2757.34                             3.316217275437813                                    11.363232323232323                                        2.33250089470047
1               9734                -13572                    5343.36                             3.1574642203158647                                    10.787272727272727                                        2.31806619715726
2               9734                -12629                    7241.82                             2.791258576746019                                    9.58                                        2.1871504777318522
3               9734                -11684                    8741.53                             1.7676743467831995                                    6.1066666666666665                                        1.5707142993036598
4               9734                -10667                    9483.32                             0.8825789163909484                                    3.04                                        0.8833554504666493
5               9734                -14094                    5860.94                             2.164989349367561                                    7.525656565656566                                        2.0850151279051117
6               9734                -14568                    3436.07                             3.191622433631385                                    11.015353535353535                                        2.349305387666018
7               9734                -14069                    6566.88                             2.6493126692480637                                    9.116969696969697                                        2.2809027775702995
8               9734                -14069                    8930.03                             1.799320633651538                                    6.289090909090909                                        1.8106348126503558
9               9734                -10713                    9284.21                             1.209181654648237                                    4.146262626262626                                        1.372562199528309
10               9734                -10713                    9391.62                             0.7525297422817351                                    2.54969696969697                                        0.9917445974306087
11               9734                -15038                    6506.29                             1.9383987202141806                                    6.564646464646465                                        1.9532316822041547
12               9734                -15067                    3058.49                             2.908794337420649                                    9.89030303030303                                        2.357552451298897
13               9734                -13591                    5798.76                             2.6020672217485505                                    8.855555555555556                                        2.2144204895795045
14               9734                -13591                    7469.45                             1.786580840729419                                    6.1313131313131315                                        1.8029658691951866
15               9734                -11189                    8466.7                             1.0982381191246047                                    3.7044444444444444                                        1.2807445671357784
16               9734                -11189                    8925.16                             0.8841659612520214                                    3.0193939393939395                                        1.1171033017190404
17               9734                -14563                    6651.52                             1.8085877311482221                                    6.266666666666667                                        1.7795934292127282
18               9734                -15075                    3227.15                             3.1171231465942815                                    10.64929292929293                                        2.3885611387764207
19               9734                -14595                    5393.41                             2.804392864837289                                    9.484040404040403                                        2.4157944465487438
20               9734                -14563                    7205.15                             2.1979627578976477                                    7.402222222222222                                        2.2040483974571123
21               9734                -14563                    8196.32                             1.5413984038833826                                    5.328484848484848                                        1.7143603142535384
