iteracion  mejor_solucion       peor_solucion                               promedio                                 distancia_euclidiana                                  distancia_hamming                                    entropia
0               899                    417                         330.37254901960785                             3.036552779898817                                    9.452549019607844                                        2.3359924684246836
1               897                    -992                         462.578431372549                             2.967395603685843                                    8.978823529411764                                        2.259950477089582
2               869                    -944                         501.52450980392155                             2.9752618602430285                                    9.060392156862745                                        2.3203364001002034
3               901                    -952                         549.5367647058823                             2.783437610592723                                    7.976470588235294                                        2.3274661878158454
4               976                    -975                         576.2389705882354                             2.683064628445918                                    7.411764705882353                                        2.278941002572228
5               976                    -992                         600.9724264705883                             2.714610042712635                                    7.563921568627451                                        2.217183187702988
6               922                    -941                         690.201899509804                             2.6358352967120116                                    7.174901960784314                                        2.288613304392674
7               966                    -987                         685.444087009804                             2.566808340783147                                    6.815686274509804                                        2.2295596329664047
8               966                    -914                         688.9377297794117                             2.6534436772726386                                    7.250196078431372                                        2.244248288651908
9               966                    -932                         703.8218060661765                             2.6777671706485204                                    7.408627450980392                                        2.267739735741029
10               1024                    -948                         748.4403147977941                             2.4616679769555083                                    6.3262745098039215                                        2.2718933155110883
11               1009                    -963                         715.6417260263481                             2.4960324507971245                                    6.434509803921569                                        2.1669395057673597
12               1018                    -899                         745.4679218367035                             2.4247698180719195                                    6.1129411764705885                                        2.210624947537839
13               969                    -958                         704.8221962124694                             2.5951669031719637                                    6.980392156862745                                        2.2597459638579718
14               974                    -932                         705.1954118317249                             2.5851036972293935                                    6.876862745098039                                        2.1696144474626493
15               997                    -958                         699.9212353276271                             2.504181056729417                                    6.48156862745098                                        2.1644004973969864
16               997                    -958                         701.5488529579311                             2.4748769822602235                                    6.329411764705882                                        2.128224613058212
17               997                    -901                         720.0489362828871                             2.6489616120434456                                    7.187450980392157                                        2.162808631919452
18               997                    -984                         692.7695661806592                             2.6473121827158463                                    7.214117647058823                                        2.1837043556035853
19               997                    -1001                         724.7377242668002                             2.6888306605107175                                    7.408627450980392                                        2.2083113468919064
20               997                    -961                         635.7414111530079                             2.6618472684180334                                    7.262745098039216                                        2.159808606757148
21               997                    -923                         604.1746271451314                             2.7367889499379277                                    7.687843137254902                                        2.2348168795851127
22               956                    -1000                         666.5677057294284                             2.674360900663239                                    7.356862745098039                                        2.1711170460199165
23               925                    -936                         683.9799312960868                             2.704972756926112                                    7.557647058823529                                        2.2498316855359133
24               962                    -971                         685.7546715303963                             2.7365069595124063                                    7.723921568627451                                        2.220917725204926
25               962                    -968                         625.8969436083354                             2.8162488465166513                                    8.131764705882352                                        2.1744994520039316
26               935                    -912                         686.0170992551481                             2.7862399929223596                                    7.973333333333334                                        2.2541790206724266
27               980                    -959                         658.0281574707112                             2.7093813091634376                                    7.557647058823529                                        2.2031522230872285
28               980                    -953                         590.8572159902576                             2.774527590252468                                    7.898039215686275                                        2.202356064208195
29               980                    -950                         666.8109609363053                             2.7108441939316528                                    7.563921568627451                                        2.23540926721115
30               980                    -919                         722.6309706642311                             2.5785930975781035                                    6.814117647058824                                        2.0981885851863336
31               989                    -900                         728.0017598419195                             2.528690995886558                                    6.603921568627451                                        2.180812497976906
32               883                    -922                         697.3244093327244                             2.6835169604165476                                    7.3882352941176475                                        2.1686365000853427
33               917                    -905                         735.691616431068                             2.6335402173549545                                    7.148235294117647                                        2.2257996749920634
34               1005                    -966                         671.9634552743576                             2.615240692036842                                    7.019607843137255                                        2.1720657316170358
35               1005                    -920                         647.1189825391396                             2.7598925354549477                                    7.808627450980392                                        2.2386177786790467
36               970                    -942                         690.4026285244718                             2.7070638572083783                                    7.543529411764706                                        2.2568849052666673
37               970                    -964                         709.5346475955691                             2.7022885210397183                                    7.4980392156862745                                        2.214921913322854
38               978                    -958                         673.2477159546473                             2.6596092609787365                                    7.289411764705882                                        2.264610273595671
39               955                    -918                         709.3199364086962                             2.6949321003115534                                    7.458823529411765                                        2.1592978097996616
40               943                    -929                         705.9834976161128                             2.674654805315616                                    7.3443137254901965                                        2.1787225403812407
41               951                    472                         755.2564546904093                             2.6760488874699906                                    7.349019607843137                                        2.178417888590613
42               966                    -961                         706.0301881295184                             2.6841319296330624                                    7.40078431372549                                        2.1699888701726158
43               943                    -897                         717.15234896672                             2.7793562141509605                                    7.918431372549019                                        2.214054753896018
44               969                    541                         740.8506842872815                             2.78639703456782                                    8.003137254901961                                        2.346476137471811
45               949                    -914                         728.7194597906996                             2.648763799778319                                    7.223529411764706                                        2.1586739008406313
46               1010                    589                         761.330318130644                             2.6491114751291187                                    7.220392156862745                                        2.194195709015595
47               963                    -974                         751.5769237712043                             2.6706224873417943                                    7.314509803921569                                        2.1838005983359365
48               984                    -982                         719.4355207091315                             2.625035445458465                                    7.0588235294117645                                        2.1213009786458352
49               984                    -932                         723.5314858447618                             2.568285974634244                                    6.821960784313726                                        2.2238965445337717
50               984                    -944                         633.4912331184594                             2.532655578151699                                    6.669803921568628                                        2.1973884086808866
51               984                    -983                         636.9613028337394                             2.5533244725521893                                    6.712156862745098                                        2.1416504964573404
52               1009                    -965                         612.235553377654                             2.7185925756389144                                    7.607843137254902                                        2.268887966471976
53               1016                    -958                         663.4020904143172                             2.580819464911999                                    6.934901960784313                                        2.2909757964932136
54               1018                    -961                         649.083398148335                             2.4964140672176627                                    6.425098039215686                                        2.0913477602810775
55               1018                    -929                         692.002483387893                             2.6267059987803725                                    7.157647058823529                                        2.2565761530018924
56               1001                    -940                         714.5600652233583                             2.6520884182491056                                    7.229803921568627                                        2.185370104411549
57               979                    -911                         740.7702286901106                             2.6658366883014057                                    7.301960784313725                                        2.18273417679605
58               1001                    -1014                         728.5811927764278                             2.5590073242820703                                    6.7654901960784315                                        2.225462994757134
59               1024                    -952                         733.7415767803707                             2.6030583831560423                                    6.983529411764706                                        2.199683836977815
60               1016                    -913                         706.5080432921461                             2.5962563486260493                                    6.945882352941177                                        2.2043489662190328
61               1016                    -952                         697.9304922343083                             2.537091792117053                                    6.646274509803922                                        2.1528922034155573
62               1001                    -1040                         665.6907363132326                             2.61880799134051                                    7.069803921568627                                        2.2285857398876914
63               952                    -947                         680.4041916860281                             2.6546228352668955                                    7.231372549019608                                        2.1731614247567
64               932                    -964                         679.858958588112                             2.741546965634165                                    7.745882352941177                                        2.24617058189106
65               941                    -926                         646.4196753724874                             2.7493072004458794                                    7.756862745098039                                        2.1785960719794066
66               923                    -897                         653.0921906274202                             2.78040419436763                                    7.946666666666666                                        2.2281850397602994
67               964                    -925                         680.418644333318                             2.71566919072972                                    7.576470588235294                                        2.219738047753929
68               1009                    -919                         702.8367731470512                             2.5888849777517047                                    6.961568627450981                                        2.216981618662082
69               941                    -1000                         693.565445397055                             2.719879707119488                                    7.568627450980392                                        2.1903704089021994
70               942                    -963                         637.1944874044099                             2.743953042192234                                    7.7035294117647055                                        2.157510406535918
71               987                    -930                         676.832537819852                             2.793319294145689                                    7.970196078431372                                        2.19809929924956
72               926                    -990                         685.4947002824749                             2.757104098630184                                    7.802352941176471                                        2.2271303958707116
73               956                    -904                         673.021859945159                             2.7203055723819625                                    7.603137254901961                                        2.2515925605462703
74               993                    -958                         712.207008403952                             2.769981429721409                                    7.8933333333333335                                        2.2368591238257958
75               987                    -936                         702.5937002804073                             2.7014299360984                                    7.48078431372549                                        2.1752471283611476
76               996                    -1001                         649.0419481794194                             2.659254211326424                                    7.2486274509803925                                        2.1274068602372256
77               930                    -948                         645.2366603642195                             2.6842420665169806                                    7.436862745098039                                        2.204799827820036
78               951                    -895                         675.0889184174039                             2.691399109589632                                    7.450980392156863                                        2.2542319073086103
79               971                    -934                         708.7895572479176                             2.598951219277966                                    6.952156862745098                                        2.1952146399364696
80               1001                    -932                         718.8947786239588                             2.571851235279756                                    6.826666666666667                                        2.119653864401632
81               966                    -904                         742.6140559786461                             2.709251261382689                                    7.545098039215686                                        2.1813066399305567
82               981                    612                         776.5521260285387                             2.626052167787622                                    7.124705882352941                                        2.2628405975838626
83               983                    -984                         722.7956708574065                             2.5309422306627556                                    6.6117647058823525                                        2.098935929612446
84               1010                    -977                         730.8488158208602                             2.64532589129642                                    7.231372549019608                                        2.2564172210080633
85               1010                    -930                         734.267545165332                             2.581288963392656                                    6.881568627450981                                        2.191905684793308
86               954                    -946                         661.8004392493326                             2.530319831670459                                    6.608627450980392                                        2.156299428899429
87               989                    -1028                         687.0766902129017                             2.704424057827143                                    7.565490196078431                                        2.2375631516828554
88               952                    -958                         661.3324627535096                             2.748760051641177                                    7.753725490196079                                        2.208691595886249
89               995                    -966                         670.4309372591077                             2.7055725315938024                                    7.52                                        2.226373282738338
90               978                    -978                         655.842919609946                             2.6471316680372516                                    7.261176470588235                                        2.265572353658685
91               987                    -962                         662.1273421579142                             2.6639763227703455                                    7.317647058823529                                        2.284518367260318
92               960                    -888                         694.936220098565                             2.7045434007532694                                    7.510588235294118                                        2.190697726636354
93               960                    -920                         718.9877178924197                             2.661090127296221                                    7.264313725490196                                        2.200322564227346
94               993                    -956                         732.8075844364059                             2.6559605185933073                                    7.272156862745098                                        2.2638676907360047
95               984                    -945                         691.4920275123206                             2.632243680133459                                    7.105882352941176                                        2.167741166878133
96               993                    -920                         721.6675823836113                             2.6032380622434763                                    6.983529411764706                                        2.197593353257604
97               970                    -904                         727.3141833486684                             2.680476692747158                                    7.402352941176471                                        2.2104082608225784
98               964                    -958                         694.4806210860988                             2.565012688785142                                    6.770196078431373                                        2.1689022373893154
99               989                    -921                         737.4854085822651                             2.6097702288446705                                    6.9850980392156865                                        2.1270470120755713
100               1018                    -898                         759.9583905656423                             2.6610367529598755                                    7.261176470588235                                        2.153621974342932
101               978                    -942                         668.4693913612525                             2.6119943059966153                                    7.094901960784314                                        2.3235463387655053
102               970                    -904                         703.4994015629792                             2.5136244733818067                                    6.516078431372549                                        2.1713177921347477
103               978                    -942                         679.0046027422738                             2.5635527792259887                                    6.767058823529411                                        2.160680754500864
104               983                    -1029                         666.1591641162349                             2.6954174123463073                                    7.460392156862745                                        2.174186365612261
105               954                    -947                         628.4521310777253                             2.6323110659696507                                    7.1905882352941175                                        2.2429608854751026
106               951                    -957                         661.8044969114117                             2.5842842422469094                                    6.939607843137255                                        2.29182084147908
107               1005                    -906                         690.1375425733529                             2.600053112587388                                    6.945882352941177                                        2.1176292543770536
108               971                    -904                         704.9413203062843                             2.7261201835131237                                    7.686274509803922                                        2.2829824253713324
109               971                    -1005                         714.5588954472598                             2.6161148684938476                                    7.088627450980392                                        2.2956147497489368
110               908                    -931                         671.7108202726495                             2.656822639390494                                    7.251764705882353                                        2.207273838402556
111               980                    -912                         705.061292489266                             2.6955109339313217                                    7.487058823529412                                        2.1766612701201886
112               997                    -955                         650.8443717348291                             2.756104426976693                                    7.770980392156862                                        2.1961746132191906
113               997                    -976                         610.1280682203558                             2.646738427455258                                    7.232941176470589                                        2.2137074487967765
114               997                    -934                         639.1718772474328                             2.680135060580631                                    7.40078431372549                                        2.2615074717412678
115               949                    -1024                         654.8800562707752                             2.6355338804614026                                    7.179607843137255                                        2.2503917320667464
116               949                    -936                         624.616498723623                             2.681995674978901                                    7.422745098039216                                        2.198262158273386
117               947                    -997                         569.6219748520075                             2.7225524008431785                                    7.6                                        2.181558148984936
118               911                    -916                         593.4874580142391                             2.8457855994925927                                    8.321568627450981                                        2.2813158475302058
119               922                    -928                         581.469219203198                             2.8648905797963886                                    8.407843137254902                                        2.2448782712830595
120               943                    -884                         638.4306880329716                             2.7655412523233918                                    7.872941176470588                                        2.294977158909681
121               943                    -967                         641.764363624329                             2.718568230820988                                    7.582745098039216                                        2.217762135806333
122               981                    -914                         670.7057112239293                             2.687357294539146                                    7.4101960784313725                                        2.154463743606753
123               1004                    576                         717.5489340433371                             2.806323470205811                                    8.061176470588235                                        2.2283913517649356
124               1004                    -932                         716.4411336883352                             2.7299854742957717                                    7.654901960784314                                        2.2367125710982356
125               936                    -968                         702.710762922599                             2.7072611170928944                                    7.523137254901961                                        2.208917645381793
126               946                    -906                         718.4338128338485                             2.7087684509897065                                    7.526274509803922                                        2.182155644250041
127               935                    -986                         671.46200445614                             2.67330701080833                                    7.341176470588235                                        2.1550810086550976
128               950                    -885                         721.9957081104229                             2.674357257899141                                    7.328627450980393                                        2.188678129362714
129               1005                    575                         776.72334425129                             2.483362218397423                                    6.431372549019608                                        2.2768479990111885
130               1005                    -933                         773.6165740864293                             2.436959779766138                                    6.123921568627451                                        2.1011802632285
131               993                    -927                         730.8965223373323                             2.616711106880164                                    7.063529411764706                                        2.196332375338889
