iteracion  mejor_solucion       peor_solucion                               promedio                                 distancia_euclidiana                                  distancia_hamming                                    entropia
0         843         -975                   272.65686274509807                   0                                 0                                     0
1         907         -916                   457.03431372549016                   0                                 0                                     0
2         907         -1050                   540.5171568627451                   0                                 0                                     0
3         872         -933                   579.0134803921569                   0                                 0                                     0
4         881         -980                   609.8694852941177                   0                                 0                                     0
5         899         -986                   571.6700367647059                   0                                 0                                     0
6         902         -895                   644.2075674019608                   0                                 0                                     0
7         967         -918                   646.7900582107843                   0                                 0                                     0
8         965         -965                   611.2871859681372                   0                                 0                                     0
9         965         -1025                   608.4769263174019                   0                                 0                                     0
10         965         -923                   676.8365023743872                   0                                 0                                     0
11         965         -916                   704.9182511871936                   0                                 0                                     0
12         1005         -984                   675.0571648092831                   0                                 0                                     0
13         989         -913                   637.1070137771906                   0                                 0                                     0
14         1001         -965                   613.3966441434973                   0                                 0                                     0
15         1001         -952                   645.5610671697879                   0                                 0                                     0
16         960         -1051                   654.2315139770508                   0                                 0                                     0
17         960         -920                   649.7530118904862                   0                                 0                                     0
18         960         -945                   603.3667020236744                   0                                 0                                     0
19         958         -1001                   642.8598216000726                   0                                 0                                     0
20         971         -920                   667.1652049176834                   0                                 0                                     0
21         971         -933                   670.2394652039397                   0                                 0                                     0
22         935         -915                   617.9334580921659                   0                                 0                                     0
23         943         -944                   656.3294741441222                   0                                 0                                     0
24         1004         -896                   705.1647370720611                   0                                 0                                     0
25         970         -978                   729.6902116732855                   0                                 0                                     0
26         1010         -964                   755.600007797427                   0                                 0                                     0
27         974         -996                   709.2607882124389                   0                                 0                                     0
28         974         -927                   724.3754921454351                   0                                 0                                     0
29         974         -919                   725.0210794060508                   0                                 0                                     0
30         1024         -900                   759.098774997143                   0                                 0                                     0
31         974         -951                   735.4513482828852                   0                                 0                                     0
32         978         585                   771.4119486512466                   0                                 0                                     0
33         952         -933                   708.8334253060154                   0                                 0                                     0
34         970         -966                   713.2402420647725                   0                                 0                                     0
35         981         -897                   705.4632582872882                   0                                 0                                     0
36         980         -996                   656.2218252220755                   0                                 0                                     0
37         921         -904                   678.3854224149593                   0                                 0                                     0
38         964         -958                   696.9770249329699                   0                                 0                                     0
39         964         -1016                   628.037532074328                   0                                 0                                     0
40         970         -910                   660.9991581940268                   0                                 0                                     0
41         999         -974                   683.4995790970133                   0                                 0                                     0
42         999         -942                   716.7203777838008                   0                                 0                                     0
43         999         -974                   731.6739143820964                   0                                 0                                     0
44         999         -958                   718.817349347911                   0                                 0                                     0
45         999         -988                   671.9576942817987                   0                                 0                                     0
46         970         705                   756.7631608663896                   0                                 0                                     0
47         996         -934                   678.1560902371164                   0                                 0                                     0
48         995         -948                   612.4407902165974                   0                                 0                                     0
49         979         -898                   655.8576500102595                   0                                 0                                     0
50         987         -930                   676.3994132404239                   0                                 0                                     0
51         960         -904                   715.7977458358982                   0                                 0                                     0
52         978         -909                   729.3792650748119                   0                                 0                                     0
53         978         -948                   701.9543384197589                   0                                 0                                     0
54         970         -920                   697.408541758899                   0                                 0                                     0
55         970         -906                   707.6160355853319                   0                                 0                                     0
56         926         -958                   672.3962530867836                   0                                 0                                     0
57         955         662                   742.6785187002546                   0                                 0                                     0
58         932         -932                   722.0549456246371                   0                                 0                                     0
59         964         -913                   740.3804139887891                   0                                 0                                     0
60         990         -886                   751.3274618963553                   0                                 0                                     0
61         955         -1036                   702.4872603599424                   0                                 0                                     0
62         913         -1002                   645.7730419446771                   0                                 0                                     0
63         913         -888                   695.5041680311621                   0                                 0                                     0
64         913         -934                   641.0658095057771                   0                                 0                                     0
65         881         -949                   605.6701596548494                   0                                 0                                     0
66         930         -906                   576.4135111999738                   0                                 0                                     0
67         976         -880                   653.2851869725359                   0                                 0                                     0
68         984         -941                   602.9661228980326                   0                                 0                                     0
69         949         -915                   687.6595320372517                   0                                 0                                     0
70         947         -949                   644.4376091558808                   0                                 0                                     0
71         996         -916                   674.5227261465678                   0                                 0                                     0
72         974         -891                   692.8299905242643                   0                                 0                                     0
73         945         -905                   706.8463678111518                   0                                 0                                     0
74         987         -949                   628.6094584153798                   0                                 0                                     0
75         933         -936                   577.08904293318                   0                                 0                                     0
76         936         -940                   577.466090094041                   0                                 0                                     0
77         1010         -914                   607.1055940666283                   0                                 0                                     0
78         1010         -952                   666.2782872293926                   0                                 0                                     0
79         993         -954                   708.0607122421472                   0                                 0                                     0
80         981         -927                   677.2558463171521                   0                                 0                                     0
81         991         -899                   713.4122368840663                   0                                 0                                     0
82         991         -952                   701.9120007949743                   0                                 0                                     0
83         1010         -909                   692.593255299448                   0                                 0                                     0
84         964         -1050                   658.1985884340377                   0                                 0                                     0
85         964         -924                   688.3443922562345                   0                                 0                                     0
86         964         613                   735.1721961281173                   0                                 0                                     0
87         964         -959                   733.9488431620979                   0                                 0                                     0
88         931         -992                   706.6508921692842                   0                                 0                                     0
89         989         -923                   703.1979951042499                   0                                 0                                     0
90         914         -967                   661.3931151991837                   0                                 0                                     0
91         950         -947                   649.1377340701802                   0                                 0                                     0
92         950         -986                   683.6374944860704                   0                                 0                                     0
93         958         -954                   668.034433517545                   0                                 0                                     0
94         958         -946                   707.399569699949                   0                                 0                                     0
95         960         -946                   682.0723338695823                   0                                 0                                     0
96         970         -935                   657.0851865426343                   0                                 0                                     0
97         903         -921                   633.679848173278                   0                                 0                                     0
98         941         -948                   655.5948260474233                   0                                 0                                     0
99         968         -965                   702.0229032197901                   0                                 0                                     0
100         882         -965                   696.805569256954                   0                                 0                                     0
101         948         -882                   709.2067061971045                   0                                 0                                     0
102         948         -990                   666.1621766279641                   0                                 0                                     0
103         984         -954                   686.6301079218251                   0                                 0                                     0
104         978         -950                   674.1385833726772                   0                                 0                                     0
105         978         -922                   633.6281152157503                   0                                 0                                     0
106         915         -949                   645.7944497647379                   0                                 0                                     0
107         959         515                   699.0638915490356                   0                                 0                                     0
108         959         612                   731.4241026372629                   0                                 0                                     0
109         924         -1015                   638.6532277892197                   0                                 0                                     0
110         894         -890                   633.0521040906883                   0                                 0                                     0
111         976         -931                   656.3397775355402                   0                                 0                                     0
112         976         -923                   621.3561632775741                   0                                 0                                     0
113         941         -898                   667.4231796780027                   0                                 0                                     0
114         944         -918                   653.9860996429229                   0                                 0                                     0
115         983         -953                   693.2773635469516                   0                                 0                                     0
116         1013         -944                   661.9131915773974                   0                                 0                                     0
117         969         -902                   687.7213016710516                   0                                 0                                     0
118         989         647                   756.3018273061141                   0                                 0                                     0
119         981         -1012                   750.6999332609003                   0                                 0                                     0
120         989         -958                   655.8695744735874                   0                                 0                                     0
121         917         -942                   665.2877284132643                   0                                 0                                     0
122         949         -922                   719.9575896968282                   0                                 0                                     0
123         919         -944                   688.272912495473                   0                                 0                                     0
124         951         -1098                   677.8423386006776                   0                                 0                                     0
125         958         522                   723.3917575356329                   0                                 0                                     0
126         906         -975                   676.0880356305615                   0                                 0                                     0
127         922         -932                   659.7989197760651                   0                                 0                                     0
128         891         -888                   691.095538319405                   0                                 0                                     0
129         939         -914                   700.7634554342123                   0                                 0                                     0
130         903         544                   739.1072179131846                   0                                 0                                     0
131         935         -953                   715.1614520938472                   0                                 0                                     0
132         955         -922                   738.9532750665314                   0                                 0                                     0
133         1010         -971                   656.7413434156186                   0                                 0                                     0
134         971         -929                   653.0961619038878                   0                                 0                                     0
135         971         -966                   619.9598456578262                   0                                 0                                     0
136         971         -928                   655.9210992995013                   0                                 0                                     0
137         971         -944                   632.3723143556331                   0                                 0                                     0
138         971         -925                   654.7155689425224                   0                                 0                                     0
139         971         -935                   619.3577844712612                   0                                 0                                     0
140         984         -963                   623.8945785101404                   0                                 0                                     0
141         956         -888                   658.1433676864427                   0                                 0                                     0
142         956         -907                   690.6207034510645                   0                                 0                                     0
143         996         -907                   707.8005478039636                   0                                 0                                     0
144         996         -927                   702.106156254923                   0                                 0                                     0
145         972         -895                   728.2491565588341                   0                                 0                                     0
146         1016         -933                   745.7128135735347                   0                                 0                                     0
