iteracion  mejor_solucion       peor_solucion                               promedio                                 distancia_euclidiana                                  distancia_hamming                                    entropia
0               9720                    -13125                         589.9607843137255                             3.2380650710829                                    10.738823529411764                                        2.3791065704586494
1               9718                    -12623                         574.4509803921569                             3.2752426040849327                                    10.91921568627451                                        2.4056310530608727
2               9720                    -12158                         2114.0588235294117                             3.283827628757292                                    10.989803921568628                                        2.458959135879937
3               9722                    -13121                         1191.0098039215686                             3.29197897534706                                    11.058823529411764                                        2.397306284526271
4               9614                    -11657                         1916.436274509804                             3.2877451394950943                                    11.050980392156863                                        2.360054152935847
5               9714                    -12148                         1886.8848039215686                             3.278920762866117                                    10.992941176470588                                        2.341818016147804
6               9721                    -12625                         1660.4816176470588                             3.210934367131487                                    10.538039215686274                                        2.3878408087888543
7               9751                    -13135                         1162.250612745098                             3.179567037710914                                    10.309019607843137                                        2.3908697574438604
8               9731                    -14100                         1647.5076593137255                             3.247208160557265                                    10.738823529411764                                        2.3989558952477084
9               9733                    -13606                         812.1459865196078                             3.292852471646167                                    11.025882352941176                                        2.383336382363064
10               9733                    -12624                         1876.229856004902                             3.267931071122784                                    10.884705882352941                                        2.380409123639551
11               9715                    -12153                         1525.379633884804                             3.2209808123574746                                    10.636862745098039                                        2.4458770135704753
12               9723                    -12173                         1397.5721698835785                             3.2076849584762854                                    10.550588235294118                                        2.435469588554824
13               9723                    -11674                         950.1880457261029                             3.158170226427986                                    10.180392156862744                                        2.3913001830746037
14               9725                    -12152                         2113.0744150199143                             3.1556521869485854                                    10.175686274509804                                        2.367028934279553
15               9729                    -12616                         2704.390148686428                             3.1744379474777817                                    10.27921568627451                                        2.3907295512180937
16               9706                    -12639                         1830.2931135589001                             3.2187813688363502                                    10.531764705882352                                        2.3350469143142742
17               9731                    -12628                         2742.705380308862                             3.1870139543403897                                    10.382745098039216                                        2.420985475360956
18               9737                    -12140                         2758.1468078014896                             3.0922046720760483                                    9.80549019607843                                        2.4453992845958474
19               9722                    -12642                         229.26948233211738                             3.1246440699140514                                    9.99529411764706                                        2.3889691854104838
20               9729                    -13129                         1878.5563097935096                             3.1602074923107235                                    10.230588235294118                                        2.413442595633283
21               9751                    -13131                         1727.5820764653822                             3.187655158061308                                    10.418823529411764                                        2.427486919004072
22               9751                    -13625                         1581.3596656836717                             3.1753948418207707                                    10.293333333333333                                        2.3829166561667035
23               9719                    -12620                         2824.6112053908555                             3.186198376261745                                    10.415686274509804                                        2.3963071858181766
24               9725                    -12170                         2051.9918772052315                             3.1368453577594706                                    10.04078431372549                                        2.3673307570461435
25               9719                    -12135                         1880.8194680143806                             3.0540669618275795                                    9.55921568627451                                        2.4005377836039408
26               9728                    -12139                         1838.8313026346414                             3.144011530344265                                    10.116078431372548                                        2.414583180305755
