iteracion  mejor_solucion       peor_solucion                   promedio                             distancia_euclidiana                         distancia_hamming                             entropia
0               9733                -13135                    3664.28                             3.3433028061931815                                    11.484848484848484                                        2.339137958394928
1               9733                -13135                    5694.68                             3.22619531820872                                    11.134343434343434                                        2.362722326205059
2               9733                -12103                    8406.32                             2.8010221174239907                                    9.708080808080808                                        2.2025306200108488
3               9733                -10694                    9213.0                             1.9555213470056472                                    6.668080808080808                                        1.785882570275618
4               9733                -10694                    9277.16                             1.0029244917187337                                    3.4767676767676767                                        1.0958060127382154
5               9735                -13596                    7352.0                             1.615157679343877                                    5.4529292929292925                                        1.7384482393469998
6               9735                -17012                    2161.21                             3.312334969895957                                    11.265252525252524                                        2.331240434139731
7               9735                -13144                    5630.91                             3.0610231920956488                                    10.388080808080808                                        2.3650432518917683
8               9735                -13144                    7535.62                             2.4463823143725536                                    8.264040404040404                                        2.1907146996472413
9               9735                -12132                    8891.66                             1.4277903415895472                                    4.745050505050505                                        1.4779727087808165
10               9735                -11658                    9460.74                             0.6692456177471857                                    2.1713131313131315                                        0.7664448254106897
11               9735                -14100                    8131.29                             0.8514882695820922                                    2.801010101010101                                        1.0764182240929634
12               9735                -14077                    1620.97                             3.1071184591277605                                    10.561616161616161                                        2.3246437798604007
13               9735                -14082                    2092.99                             2.9694325136341804                                    10.13030303030303                                        2.3304651085242813
14               9735                -14082                    5760.07                             2.205506456659153                                    7.517575757575758                                        2.0600444648746237
15               9735                -12639                    7841.42                             1.208302830261424                                    4.0765656565656565                                        1.4024346755393824
16               9735                -11653                    9031.82                             0.501856162781619                                    1.6442424242424243                                        0.6320187465193879
17               9735                -16525                    8582.45                             0.6263690498191865                                    2.067070707070707                                        0.8220989698183993
18               9735                -16525                    2734.68                             2.9039085083657907                                    9.776565656565657                                        2.3560747318632287
19               9735                -14093                    5062.56                             2.9472262944595378                                    10.0                                        2.39574285712039
20               9735                -12650                    6554.09                             2.2870765399482935                                    7.7143434343434345                                        2.2024167580205436
21               9735                -12641                    8406.29                             1.4731874978519885                                    4.861010101010101                                        1.6779104612900166
22               9735                -10697                    9356.29                             1.0343852918076686                                    3.488080808080808                                        1.305979361068049
23               9735                -13120                    8597.35                             0.9630810959905626                                    3.3545454545454545                                        1.11550927114025
24               9735                -13101                    4494.6                             2.645177649025421                                    9.073535353535354                                        2.325650097679801
25               9735                -13591                    4370.01                             2.9339944609327544                                    10.002222222222223                                        2.419929692547203
26               9735                -13594                    5768.52                             2.5513984384267636                                    8.584242424242424                                        2.328569537747117
27               9735                -13591                    7943.17                             1.6754889119553675                                    5.746464646464647                                        1.802368450611252
28               9735                -13591                    9116.65                             1.122864699191717                                    3.9101010101010103                                        1.3775322467756654
29               9735                -13591                    8545.61                             0.9481194381423046                                    3.2765656565656567                                        1.197134019335482
30               9735                -15041                    4419.61                             2.432435706242134                                    8.188686868686869                                        2.2476981935440126
31               9735                -15041                    3842.09                             2.8026549292699916                                    9.525252525252526                                        2.3162330335570505
32               9735                -15041                    5092.66                             2.4696450107465235                                    8.434343434343434                                        2.2274417221349743
33               9735                -13111                    7219.33                             1.5865689630947455                                    5.427272727272728                                        1.694620633326923
34               9735                -13111                    8177.15                             0.9293946353358901                                    3.1284848484848484                                        1.0962015176749385
35               9735                -13110                    8579.55                             0.7191389778721529                                    2.4961616161616162                                        0.8750220511521817
36               9735                -14561                    5824.71                             2.005981313041672                                    6.842626262626263                                        1.895513162452097
37               9735                -13605                    4573.94                             2.6660499029103444                                    9.188080808080809                                        2.241590694338219
38               9745                -13614                    5033.79                             2.276679797171257                                    7.872525252525253                                        2.123182383340501
39               9745                -14098                    6773.46                             2.279477123946155                                    7.8662626262626265                                        2.002502097783458
40               9745                -14098                    8398.08                             2.161321272248279                                    7.217575757575758                                        1.526557906126541
41               9745                -14098                    9036.3                             1.7536489466395664                                    5.838383838383838                                        1.272881970178297
42               9745                -10720                    8458.28                             1.4104103008312159                                    4.726060606060606                                        1.2840044996147975
43               9745                -14106                    5057.14                             2.44628986568941                                    8.385454545454545                                        2.1504547079765723
44               9745                -14106                    4340.24                             2.727700579028155                                    9.314949494949495                                        2.346725222572394
45               9745                -14106                    5703.66                             2.128935148564599                                    7.152929292929293                                        2.081645710554262
46               9745                -14106                    6874.51                             1.3583345520460688                                    4.405454545454545                                        1.566252175101219
47               9745                -14106                    8139.27                             0.7610320306601754                                    2.4123232323232324                                        1.0723039154099723
48               9745                -14106                    8150.0                             0.8973207787614387                                    3.117777777777778                                        1.1400127645750622
49               9745                -15052                    5376.32                             2.394046773412828                                    8.273131313131314                                        2.157559743157973
50               9745                -13610                    3492.75                             2.755914342410652                                    9.495757575757576                                        2.3071265768058766
51               9745                -13593                    5838.18                             2.301720848827078                                    7.776161616161616                                        2.068248841069512
52               9745                -14078                    8284.42                             1.4315903806579993                                    4.8686868686868685                                        1.498662606033583
