iteracion  mejor_solucion       peor_solucion                               promedio                                 distancia_euclidiana                                  distancia_hamming                                    entropia
0               9725                    -12617                         1685.4752475247524                             3.3378224997498824                                    11.317227722772277                                        2.335585467634804
1               9724                    -12632                         1385.5940594059407                             3.337244192401271                                    11.326732673267326                                        2.3232267529742248
2               9715                    -13109                         1465.4950495049507                             3.333515656361305                                    11.291485148514852                                        2.3112569231472118
3               9746                    -13594                         1364.0148514851485                             3.3185219694245367                                    11.22019801980198                                        2.325730941010372
4               9728                    -12654                         1273.131188118812                             3.352360768397435                                    11.420594059405941                                        2.334766637226699
5               9737                    -13611                         2244.7685643564355                             3.325565677845029                                    11.25069306930693                                        2.329584972113667
6               9737                    -14114                         755.8941831683168                             3.316450265135866                                    11.25029702970297                                        2.362197979135424
7               9741                    -12634                         1026.8777846534654                             3.3360205851223714                                    11.335049504950495                                        2.2866032992102046
8               9722                    -14578                         448.3943378712871                             3.3446484486813266                                    11.378217821782178                                        2.3185968499173732
9               9726                    -13599                         765.0239016089108                             3.348595440944993                                    11.434059405940594                                        2.3332387539577257
10               9742                    -13611                         593.6852181311881                             3.3462379319436137                                    11.392079207920792                                        2.312823719443297
11               9723                    -13623                         1083.0901338180693                             3.3285118213770386                                    11.251089108910891                                        2.2889795291776376
12               9726                    -13602                         1183.119324334777                             3.300824660396572                                    11.101386138613861                                        2.3330972168269852
13               9713                    -13604                         1008.2378799891708                             3.332892450552899                                    11.320792079207921                                        2.3398734299636
14               9723                    -14076                         445.46052415300124                             3.3363390680745777                                    11.367128712871287                                        2.287223454757112
15               9730                    -14097                         373.44808385867884                             3.351156770817765                                    11.40950495049505                                        2.3323251419509123
16               9730                    -13582                         1089.1398835134978                             3.336090499454215                                    11.316435643564356                                        2.326208842710003
17               9728                    -12161                         1049.9362783904123                             3.3292546687772875                                    11.291485148514852                                        2.33416156640514
18               9687                    -13602                         1014.1315055318398                             3.3125746635011772                                    11.186534653465346                                        2.3448312215031297
19               9727                    -13088                         1137.9716933599793                             3.3377335092361613                                    11.358019801980198                                        2.3275638902484737
20               9717                    -14572                         156.76802489781147                             3.331791317593407                                    11.297029702970297                                        2.3303323908486915
21               9725                    -13114                         256.8345074984107                             3.3375581599479953                                    11.333069306930692                                        2.3358746912915875
22               9722                    -15058                         574.2835903828687                             3.319988724014882                                    11.225346534653465                                        2.3440355377598663
23               9726                    -13135                         422.805161528068                             3.322827021807243                                    11.282376237623762                                        2.3063672735321243
24               9720                    -12635                         461.52634314027165                             3.347682589352051                                    11.385742574257426                                        2.331022374641631
25               9717                    -14557                         642.1740626592448                             3.3238744479578166                                    11.23049504950495                                        2.3084767328240026
26               9729                    -13594                         1954.6711897454638                             3.334661671110508                                    11.28039603960396                                        2.315515462381933
27               9737                    -15061                         330.90985229847445                             3.3514423655062866                                    11.407128712871287                                        2.322529939753843
28               9750                    -12619                         -762.8668560289807                             3.3421249472921786                                    11.376237623762377                                        2.317530034807333
29               9747                    -14587                         1070.1903343617473                             3.322786134644467                                    11.249108910891088                                        2.345445794962743
30               9747                    -12610                         2078.7139790620618                             3.330764603623458                                    11.259405940594059                                        2.3229299145246536
31               9738                    -14100                         1773.06491032311                             3.314525787831893                                    11.18059405940594                                        2.359531083012188
32               9735                    -13600                         1651.7651284288818                             3.328230508561278                                    11.24118811881188                                        2.304452383055944
33               9735                    -13594                         2160.1746434223614                             3.3396904430224006                                    11.335841584158416                                        2.3108177630283047
34               9736                    -13631                         1633.7407870577154                             3.3375042714101553                                    11.325544554455446                                        2.3144771000061937
35               9732                    -14102                         1189.1129677862834                             3.3406476956012106                                    11.34019801980198                                        2.330864766028722
36               9728                    -12623                         1311.2000482495773                             3.3423663254545373                                    11.335049504950495                                        2.338497726870578
37               9728                    -13608                         2173.669331055482                             3.336556991017807                                    11.285940594059406                                        2.298011888359816
38               9722                    -12660                         2467.7901110722955                             3.3352889460085415                                    11.335049504950495                                        2.328905212281941
39               9721                    -13118                         1343.1079268232766                             3.3373413500208042                                    11.328316831683168                                        2.3091175238701482
40               9749                    -14070                         957.3707950948066                             3.340704573835584                                    11.340594059405941                                        2.3157414786679444
41               9730                    -13597                         861.2250015077993                             3.3049530612930322                                    11.133861386138614                                        2.329102967129576
